"UsageDate,""ResourceGroup"",""SubscriptionName"",""EnrollmentAccountName"",""DepartmentName"",""CostUSD"",""Cost"",""Currency"""
"2022-05-01,"""",""()"","""","""",""39532.685201415414"",""39532.685201415414"",""USD"""
"2022-05-01,"""",""AU20229 Azure Antech Dev/Test(00cea4ae-3738-4e23-97c2-6a48ed4f6b5f)"",""AUAZ20229@vca.com"",""Antech"",""706.7030224525043"",""706.7030224525043"",""USD"""
"2022-05-01,"""",""Analytics at Mars Dev(066fc627-241c-4166-b66f-70f51b9b4b95)"",""Rafael Campos"","""",""8575.291007686048"",""8575.291007686048"",""USD"""
"2022-05-01,"""",""Azure DevOps(0704e782-6afa-4c75-b239-8927084d0267)"",""Rafael Campos"","""",""15762.872210984056"",""15762.872210984056"",""USD"""
"2022-05-01,"""",""Analytics at Mars Dev 002(0943aa0c-1ab4-4c76-8d56-165c33c17764)"",""Rafael Campos"","""",""24.9"",""24.9"",""USD"""
"2022-05-01,"""",""AU10515 BI MA Enterprise Dev/Test(0aca9d5b-b381-44ba-8ce1-7d1a92482dbb)"",""AU10515 Azure Business Intelligence"",""VCA Business Intelligence"",""90.02000000000001"",""90.02000000000001"",""USD"""
"2022-05-01,"""",""Royal Canin Innovation Sandbox(0b8fd4d1-5a2d-4d56-9c14-e8f8fe4d1a6b)"",""Rafael Campos"","""",""17.95"",""17.95"",""USD"""
"2022-05-01,"""",""PaaS Development(0e8c6b57-6185-445f-8c53-26907c24e8f0)"",""Rafael Campos"","""",""169.26952203341403"",""169.26952203341403"",""USD"""
"2022-05-01,"""",""AU18000 Sound Dev/Test(160cc9b7-7788-4727-a06b-8ac573679169)"",""AU10503 Azure Development"",""VCA Development"",""490.0869775474957"",""490.0869775474957"",""USD"""
"2022-05-01,"""",""Royal Canin Digital Factory Development(186fbe04-8ad9-4407-916a-ebc28e38ddca)"",""Rafael Campos"","""",""0"",""0"",""USD"""
"2022-05-01,"""",""AU10507 Engineering Production(19c7a381-ea9e-41f5-98b1-b1e710efbc24)"",""AU10507 Azure Engineering"",""VCA Engineering"",""104.39989616991362"",""104.39989616991362"",""USD"""
"2022-05-01,"""",""AU10530 Project Voyager Sandbox(1f078f16-c6e6-497a-b28e-fc622f3093ca)"",""AU10503 Azure Development"",""VCA Development"",""3160.1962089659924"",""3160.1962089659924"",""USD"""
"2022-05-01,"""",""AU10511 DataCenter Infrastructure Production(21a52741-7bcb-47bd-a88d-d2959f936db9)"",""AU10511 Azure Datacenter"",""VCA DC Cloud  & Operations"",""360.38097914432467"",""360.38097914432467"",""USD"""
"2022-05-01,"""",""Management(24ba9412-9ed7-4d00-b2d6-bee32ad73fd2)"",""Osman Queiroz"","""",""0"",""0"",""USD"""
"2022-05-01,"""",""MWC Project Werewolf Production(2544cedd-7bc6-4c00-b42f-68ffe4960371)"",""Rafael Campos"","""",""0.44"",""0.44"",""USD"""
"2022-05-01,"""",""Next Gen Tech Development(2630c4b9-c627-494d-8a87-a5002e5e7f8e)"",""Rafael Campos"","""",""94.15635797044634"",""94.15635797044634"",""USD"""
"2022-05-01,"""",""DNA-DEV-PADLE(2fbbf282-e31c-4e3f-a0ab-7baac00c450b)"",""Osman Queiroz"","""",""0.681499336795169"",""0.681499336795169"",""USD"""
"2022-05-01,"""",""Enterprise Architecture Sandbox(31ba4645-bf5d-462f-8fad-ab739ad2502a)"",""Rafael Campos"","""",""0"",""0"",""USD"""
"2022-05-01,"""",""Limited Scope - Total(327fcc3d-7a01-428c-ab58-c4b76dead59d)"",""Rafael Campos"","""",""0"",""0"",""USD"""
"2022-05-01,"""",""Digital Finance-Dev(34856e81-ee42-4aaf-a394-d7948f40992c)"",""Rafael Campos"","""",""21.749978368731977"",""21.749978368731977"",""USD"""
"2022-05-01,"""",""MyHooman Shelter Management System MVP(363e11d1-7419-40fc-8289-e201101df085)"",""Rafael Campos"","""",""90.00999999999999"",""90.00999999999999"",""USD"""
"2022-05-01,"""",""AU10512 Azure MVH Dev / Test(3c1ce384-47f8-4ba4-a7b8-86002a4d09fa)"",""AU10512 Mars Vet Health"",""MVH Mars Vet Health"",""0"",""0"",""USD"""
"2022-05-01,"""",""Royal Canin Digital Factory Production(40b9dfd0-5020-4291-ac52-cae4dbf72454)"",""Rafael Campos"","""",""9.958042432490894"",""9.958042432490894"",""USD"""
"2022-05-01,"""",""Royal Canin Digital Factory Sandbox(54e89527-62ec-421f-a307-b21abc7b6b6b)"",""Rafael Campos"","""",""7.34580318057004"",""7.34580318057004"",""USD"""
"2022-05-01,"""",""AU10512 Azure MVH Production(6b64b59f-432d-401e-b552-d855f1e1d2e0)"",""AU10512 Mars Vet Health"",""MVH Mars Vet Health"",""8.95000000000005"",""8.95000000000005"",""USD"""
"2022-05-01,"""",""AU10511 DataCenter Infrastructure Dev/Test(7156080f-083e-4ea3-9bf6-fdadf7959db3)"",""AU10511 Azure Datacenter"",""VCA DC Cloud  & Operations"",""89.95"",""89.95"",""USD"""
"2022-05-01,"""",""Connectivity(732c77e6-5aca-486d-b1d8-7f856c62bbfe)"",""Osman Queiroz"","""",""0"",""0"",""USD"""
"2022-05-01,"""",""AU10503 VCA Development Dev/Test(837b51ec-fdf7-4964-b936-c0061fa1593d)"",""AU10503 Azure Development"",""VCA Development"",""8017.4598582837825"",""8017.4598582837825"",""USD"""
"2022-05-01,"""",""DNA-DEV-Petcare(88e57b14-a528-4dd1-9716-93c0c147bb2d)"",""Osman Queiroz"","""",""16.065984678772917"",""16.065984678772917"",""USD"""
"2022-05-01,"""",""Royal Canin D2C Factory Production(8f4713bb-f57a-4ea1-a1fc-90cd570648a1)"",""Rafael Campos"","""",""626.5657195279379"",""626.5657195279379"",""USD"""
"2022-05-01,"""",""AU10503 VCA Development Production(943f34ae-16ee-4d74-8808-f86ee2949aa7)"",""AU10503 Azure Development"",""VCA Development"",""310.3141980160298"",""310.3141980160298"",""USD"""
